FPS: 5.46211464447, fr_cap: 0.00199198722839, t_calcs: 0.179799079895, imshow2: 0.00124096870422, tot: 0.183079277
FPS: 5.53314664976, fr_cap: 0.00167489051819, t_calcs: 0.177729129791, imshow2: 0.00126791000366, tot: 0.180728989
FPS: 5.51671591402, fr_cap: 0.00171089172363, t_calcs: 0.178291797638, imshow2: 0.00122117996216, tot: 0.181267264
FPS: 5.55465594817, fr_cap: 0.00170612335205, t_calcs: 0.177050828934, imshow2: 0.00122117996216, tot: 0.180029152
FPS: 5.50687262936, fr_cap: 0.00177597999573, t_calcs: 0.178427934647, imshow2: 0.00124311447144, tot: 0.181591271
FPS: 5.44476804697, fr_cap: 0.00180077552795, t_calcs: 0.180557966232, imshow2: 0.00125312805176, tot: 0.183662553
FPS: 5.46108613784, fr_cap: 0.00164103507996, t_calcs: 0.180186986923, imshow2: 0.00123596191406, tot: 0.183113757
FPS: 5.37457339525, fr_cap: 0.00186204910278, t_calcs: 0.182919979095, imshow2: 0.00122618675232, tot: 0.186061279
FPS: 5.44346520195, fr_cap: 0.00183510780334, t_calcs: 0.180543899536, imshow2: 0.00126791000366, tot: 0.183706511
FPS: 5.43374449772, fr_cap: 0.00169801712036, t_calcs: 0.180958986282, imshow2: 0.00133109092712, tot: 0.184035153
FPS: 5.2598333202, fr_cap: 0.0017249584198, t_calcs: 0.187117099762, imshow2: 0.00122809410095, tot: 0.190120093
FPS: 5.40871615365, fr_cap: 0.00189304351807, t_calcs: 0.181706190109, imshow2: 0.00123596191406, tot: 0.184886759
FPS: 5.45838633245, fr_cap: 0.00192284584045, t_calcs: 0.180003166199, imshow2: 0.00123000144958, tot: 0.183204328
FPS: 5.31812618696, fr_cap: 0.0017249584198, t_calcs: 0.185026884079, imshow2: 0.00123715400696, tot: 0.188036155
FPS: 5.33036865336, fr_cap: 0.00207901000977, t_calcs: 0.184231042862, imshow2: 0.00124216079712, tot: 0.187604285
FPS: 5.23944161741, fr_cap: 0.00117993354797, t_calcs: 0.18840098381, imshow2: 0.00122904777527, tot: 0.190860033
FPS: 5.25393648959, fr_cap: 0.00170111656189, t_calcs: 0.187345027924, imshow2: 0.00123405456543, tot: 0.190333477
FPS: 5.2445322146, fr_cap: 0.00172185897827, t_calcs: 0.187657833099, imshow2: 0.00123596191406, tot: 0.190674775
FPS: 5.26265038135, fr_cap: 0.00181198120117, t_calcs: 0.186920166016, imshow2: 0.00124001502991, tot: 0.190018323
FPS: 5.26292012155, fr_cap: 0.00174713134766, t_calcs: 0.186901092529, imshow2: 0.00131011009216, tot: 0.190008584
FPS: 5.28298362544, fr_cap: 0.00179696083069, t_calcs: 0.186177968979, imshow2: 0.00126004219055, tot: 0.189286977
FPS: 5.27316088666, fr_cap: 0.00176620483398, t_calcs: 0.186599969864, imshow2: 0.00122714042664, tot: 0.189639577
FPS: 5.34493872038, fr_cap: 0.00159001350403, t_calcs: 0.184126138687, imshow2: 0.00133180618286, tot: 0.187092884
FPS: 5.18246562301, fr_cap: 0.00164198875427, t_calcs: 0.190042972565, imshow2: 0.00122809410095, tot: 0.192958347
FPS: 5.22609877564, fr_cap: 0.0018789768219, t_calcs: 0.188144922256, imshow2: 0.00126719474792, tot: 0.191347321
FPS: 5.25079704868, fr_cap: 0.00164914131165, t_calcs: 0.187509059906, imshow2: 0.00123500823975, tot: 0.190447277
FPS: 5.20083291963, fr_cap: 0.0018310546875, t_calcs: 0.189154148102, imshow2: 0.00124287605286, tot: 0.192276894
FPS: 5.29198089148, fr_cap: 0.00207114219666, t_calcs: 0.185630083084, imshow2: 0.00121903419495, tot: 0.188965157
FPS: 5.2174359656, fr_cap: 0.0017728805542, t_calcs: 0.188616037369, imshow2: 0.00122690200806, tot: 0.191665026
