FPS: 6.23384366944, fr_cap: 0.00479984283447, t_calcs: 0.154304027557, imshow2: 0.0012469291687, tot: 0.160414674
FPS: 6.45071267506, fr_cap: 0.0046980381012, t_calcs: 0.148764848709, imshow2: 0.00149607658386, tot: 0.155021631
FPS: 6.09872490238, fr_cap: 0.00654888153076, t_calcs: 0.156090021133, imshow2: 0.00125598907471, tot: 0.163968701
FPS: 6.46836622213, fr_cap: 0.00472903251648, t_calcs: 0.148303031921, imshow2: 0.00150585174561, tot: 0.154598544
FPS: 6.11975486367, fr_cap: 0.00471711158752, t_calcs: 0.157126903534, imshow2: 0.00149607658386, tot: 0.163405238
FPS: 6.35173429913, fr_cap: 0.00465798377991, t_calcs: 0.151422023773, imshow2: 0.00128793716431, tot: 0.157437316
FPS: 6.4292811064, fr_cap: 0.00482797622681, t_calcs: 0.14939904213, imshow2: 0.0012469291687, tot: 0.155538385
FPS: 5.84835630835, fr_cap: 0.00477290153503, t_calcs: 0.164560079575, imshow2: 0.00158786773682, tot: 0.170988214
FPS: 6.39774905692, fr_cap: 0.00474905967712, t_calcs: 0.149991035461, imshow2: 0.0014967918396, tot: 0.156304974
FPS: 6.08225812543, fr_cap: 0.00480914115906, t_calcs: 0.15827703476, imshow2: 0.00125908851624, tot: 0.164412621
FPS: 6.22312190864, fr_cap: 0.00475788116455, t_calcs: 0.154546022415, imshow2: 0.00132417678833, tot: 0.160691051
FPS: 5.82801068403, fr_cap: 0.0064971446991, t_calcs: 0.163392782211, imshow2: 0.00161719322205, tot: 0.171585135
FPS: 6.04572975477, fr_cap: 0.00482487678528, t_calcs: 0.159269094467, imshow2: 0.0012469291687, tot: 0.165406004
FPS: 6.2692043361, fr_cap: 0.00476884841919, t_calcs: 0.153438091278, imshow2: 0.0012309551239, tot: 0.159509875
FPS: 6.74082718012, fr_cap: 0.00446510314941, t_calcs: 0.142462968826, imshow2: 0.00135207176208, tot: 0.148349746
FPS: 6.87315266839, fr_cap: 0.00461077690125, t_calcs: 0.139550924301, imshow2: 0.00126099586487, tot: 0.14549364
FPS: 6.76115987076, fr_cap: 0.00448107719421, t_calcs: 0.1421251297, imshow2: 0.00123405456543, tot: 0.147903617
FPS: 6.26385384384, fr_cap: 0.00446391105652, t_calcs: 0.153756141663, imshow2: 0.00136685371399, tot: 0.159646126
FPS: 6.23723292995, fr_cap: 0.00473093986511, t_calcs: 0.154170036316, imshow2: 0.00136399269104, tot: 0.160327506
FPS: 6.18600642084, fr_cap: 0.00469398498535, t_calcs: 0.155518054962, imshow2: 0.00137591362, tot: 0.161655183
FPS: 6.16526061219, fr_cap: 0.00528001785278, t_calcs: 0.155488014221, imshow2: 0.00135111808777, tot: 0.162199145
FPS: 6.07415794875, fr_cap: 0.00571298599243, t_calcs: 0.157469034195, imshow2: 0.00137400627136, tot: 0.164631873
FPS: 5.70550337965, fr_cap: 0.00553512573242, t_calcs: 0.168285131454, imshow2: 0.00137686729431, tot: 0.175269373
FPS: 5.8327768767, fr_cap: 0.00501298904419, t_calcs: 0.164709091187, imshow2: 0.00165891647339, tot: 0.171444926
FPS: 5.63411975598, fr_cap: 0.00515103340149, t_calcs: 0.170599937439, imshow2: 0.00167298316956, tot: 0.177490015
FPS: 5.70376637204, fr_cap: 0.00504589080811, t_calcs: 0.168565034866, imshow2: 0.001384973526, tot: 0.175322749
FPS: 5.59732613044, fr_cap: 0.00503301620483, t_calcs: 0.172195911407, imshow2: 0.00135707855225, tot: 0.178656733
FPS: 5.51577292079, fr_cap: 0.00524091720581, t_calcs: 0.174281835556, imshow2: 0.00171399116516, tot: 0.181298254
FPS: 5.56594302765, fr_cap: 0.00516510009766, t_calcs: 0.172621965408, imshow2: 0.00180602073669, tot: 0.179664074
FPS: 5.29291485707, fr_cap: 0.00538396835327, t_calcs: 0.182032823563, imshow2: 0.0014500617981, tot: 0.188931813
FPS: 5.24309519099, fr_cap: 0.00516486167908, t_calcs: 0.183787107468, imshow2: 0.00170588493347, tot: 0.190727035
FPS: 5.37205992599, fr_cap: 0.00699090957642, t_calcs: 0.177378177643, imshow2: 0.00169801712036, tot: 0.186148333
FPS: 5.19307731635, fr_cap: 0.00515294075012, t_calcs: 0.185893058777, imshow2: 0.0014500617981, tot: 0.19256405
FPS: 5.26413369889, fr_cap: 0.00559091567993, t_calcs: 0.182518005371, imshow2: 0.00178790092468, tot: 0.18996478
FPS: 5.43501451249, fr_cap: 0.00526595115662, t_calcs: 0.176868915558, imshow2: 0.00179290771484, tot: 0.183992149
FPS: 5.02066059573, fr_cap: 0.00535106658936, t_calcs: 0.192054986954, imshow2: 0.00170803070068, tot: 0.199176977
FPS: 4.93640362105, fr_cap: 0.0051531791687, t_calcs: 0.195909976959, imshow2: 0.00144791603088, tot: 0.202576628
FPS: 4.97513284326, fr_cap: 0.00513982772827, t_calcs: 0.194080114365, imshow2: 0.001708984375, tot: 0.200999658
FPS: 5.16831213149, fr_cap: 0.00517296791077, t_calcs: 0.186801195145, imshow2: 0.00144290924072, tot: 0.193486766
FPS: 4.93124191868, fr_cap: 0.00510096549988, t_calcs: 0.196181058884, imshow2: 0.00143790245056, tot: 0.202788672
FPS: 4.96152860489, fr_cap: 0.00648212432861, t_calcs: 0.193459033966, imshow2: 0.00152993202209, tot: 0.201550788
FPS: 4.92849558712, fr_cap: 0.0056209564209, t_calcs: 0.195509910583, imshow2: 0.00170707702637, tot: 0.202901673
FPS: 4.96734400989, fr_cap: 0.0122931003571, t_calcs: 0.187520980835, imshow2: 0.00143909454346, tot: 0.201314827
